generic_name,syn_name,dosage,drug_type,ed_category,ed_meaning,reimbursement_note,badge_color,drug_group_en,drug_subgroup_en,icd10_chapter,icd10_chapter_th,recommendation_note,condition_note,warning_note,remark,source_name,source_url,publisher
Borax (in glycerin),,"sol, sol (hosp)",,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,"Ear, nose, oropharynx  and oral cavity",Drugs acting on the oropharynx and oral cavity,VIII,โรคหูและกระดูกกกหู,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Chlorhexidine gluconate,,mouthwash sol / mouthwash sol (hosp) (เฉพาะ 0.1-0.2% w/v),,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,"Ear, nose, oropharynx  and oral cavity",Drugs acting on the oropharynx and oral cavity,VIII,โรคหูและกระดูกกกหู,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Fluocinolone acetonide,,"oral cream (hosp), oral gel  (hosp), sol (hosp)",,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,"Ear, nose, oropharynx  and oral cavity",Drugs acting on the oropharynx and oral cavity,VIII,โรคหูและกระดูกกกหู,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Talbot's solution,,sol (hosp),,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,"Ear, nose, oropharynx  and oral cavity",Drugs acting on the oropharynx and oral cavity,VIII,โรคหูและกระดูกกกหู,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
"Iodine Paint, compound",,sol (hosp),,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,"Ear, nose, oropharynx  and oral cavity",Drugs acting on the oropharynx and oral cavity,VIII,โรคหูและกระดูกกกหู,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Iodoform (in ether),,sol (hosp),,ข,ยาที่ใช้ได้ตามเงื่อนไข,เบิกได้บางกรณี ตามเงื่อนไขที่กำหนด,🟡,"Ear, nose, oropharynx  and oral cavity",Drugs acting on the oropharynx and oral cavity,VIII,โรคหูและกระดูกกกหู,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Clotrimazole,,lozenge,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,"Ear, nose, oropharynx  and oral cavity",Drugs acting on the oropharynx and oral cavity,VIII,โรคหูและกระดูกกกหู,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Miconazole nitrate,,oral gel,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,"Ear, nose, oropharynx  and oral cavity",Drugs acting on the oropharynx and oral cavity,VIII,โรคหูและกระดูกกกหู,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Nystatin,,oral susp,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,"Ear, nose, oropharynx  and oral cavity",Drugs acting on the oropharynx and oral cavity,VIII,โรคหูและกระดูกกกหู,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Camphorated parachlorophenol,,sol (hosp),,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,"Ear, nose, oropharynx  and oral cavity",Drugs acting on the oropharynx and oral cavity,VIII,โรคหูและกระดูกกกหู,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Camphorated phenol,,sol (hosp),,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,"Ear, nose, oropharynx  and oral cavity",Drugs acting on the oropharynx and oral cavity,VIII,โรคหูและกระดูกกกหู,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Chlorhexidine gluconate,,sol (hosp) (เฉพาะ 2% ),,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,"Ear, nose, oropharynx  and oral cavity",Drugs acting on the oropharynx and oral cavity,VIII,โรคหูและกระดูกกกหู,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Clove oil,,oil,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,"Ear, nose, oropharynx  and oral cavity",Drugs acting on the oropharynx and oral cavity,VIII,โรคหูและกระดูกกกหู,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
EDTA,,sol (hosp) (เฉพาะ 14% หรือ 17% ),,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,"Ear, nose, oropharynx  and oral cavity",Drugs acting on the oropharynx and oral cavity,VIII,โรคหูและกระดูกกกหู,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Formocresol,"Cresolated formaldehyde, Formaldehyde and Cresol solution",sol (hosp),,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,"Ear, nose, oropharynx  and oral cavity",Drugs acting on the oropharynx and oral cavity,VIII,โรคหูและกระดูกกกหู,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Sodium hypochlorite,,sol (hosp),,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,"Ear, nose, oropharynx  and oral cavity",Drugs acting on the oropharynx and oral cavity,VIII,โรคหูและกระดูกกกหู,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Chlorhexidine  gluconate,,mouthwash sol / mouthwash sol (hosp) (เฉพาะ 0.1-0.2%w/v),,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,"Ear, nose, oropharynx  and oral cavity",Drugs acting on the oropharynx and oral cavity,VIII,โรคหูและกระดูกกกหู,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Sodium fluoride,,"tab, oral sol",,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,"Ear, nose, oropharynx  and oral cavity",Drugs acting on the oropharynx and oral cavity,VIII,โรคหูและกระดูกกกหู,,,,ระวังการใช้ในพื้นที่ที่มีฟลูออไรด์สูง เพราะอาจทำให้เกิด fluorosis,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Epinephrine,Adrenaline,sterile sol,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,"Ear, nose, oropharynx  and oral cavity",Drugs acting on the oropharynx and oral cavity,VIII,โรคหูและกระดูกกกหู,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Artificial saliva,Saliva substitutes,sol (hosp),,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,"Ear, nose, oropharynx  and oral cavity",Drugs acting on the oropharynx and oral cavity,VIII,โรคหูและกระดูกกกหู,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Hydrogen peroxide,,mouthwash sol (1.5% w/v ),,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,"Ear, nose, oropharynx  and oral cavity",Drugs acting on the oropharynx and oral cavity,VIII,โรคหูและกระดูกกกหู,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Sodium chloride,,sterile sol,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,"Ear, nose, oropharynx  and oral cavity",Drugs acting on the oropharynx and oral cavity,VIII,โรคหูและกระดูกกกหู,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Special mouthwash,,mouthwash sol (hosp),,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,"Ear, nose, oropharynx  and oral cavity",Drugs acting on the oropharynx and oral cavity,VIII,โรคหูและกระดูกกกหู,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Tincture of iodine,lodine in alcohol,"sol, sol (hosp)",,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,"Ear, nose, oropharynx  and oral cavity",Drugs acting on the oropharynx and oral cavity,VIII,โรคหูและกระดูกกกหู,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Zinc oxide,,pwdr (hosp),,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,"Ear, nose, oropharynx  and oral cavity",Drugs acting on the oropharynx and oral cavity,VIII,โรคหูและกระดูกกกหู,,,,ใช้อุดคลองรากฟันที่ใช้บดเคี้ยวหรือใช้สำหรับอุดฟันชั่วคราวที่ต้องการให้ remove ออกได้ง่าย,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Zinc oxide with zinc acetate,,pwdr (hosp),,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,"Ear, nose, oropharynx  and oral cavity",Drugs acting on the oropharynx and oral cavity,VIII,โรคหูและกระดูกกกหู,,,,ใช้สำหรับอุดคลองรากฟันและอุดชั่วคราวที่ต้องการความแข็งแรงมาก,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Carnoy's solution,,sol (hosp),,ค,ยาโรงพยาบาล,ต้องอยู่ในบัญชียาของ รพ.นั้น,🔵,"Ear, nose, oropharynx  and oral cavity",Drugs acting on the oropharynx and oral cavity,VIII,โรคหูและกระดูกกกหู,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
White head varnish,,varnish (hosp),,ค,ยาโรงพยาบาล,ต้องอยู่ในบัญชียาของ รพ.นั้น,🔵,"Ear, nose, oropharynx  and oral cavity",Drugs acting on the oropharynx and oral cavity,VIII,โรคหูและกระดูกกกหู,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Sulfadiazine silver,Silver sulfadiazine,cream,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Skin,Anti-infective skin preparations,XII,โรคผิวหนังและเนื้อเยื่อใต้ผิวหนัง,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Fusidic acid,,cream,,ข,ยาที่ใช้ได้ตามเงื่อนไข,เบิกได้บางกรณี ตามเงื่อนไขที่กำหนด,🟡,Skin,Anti-infective skin preparations,XII,โรคผิวหนังและเนื้อเยื่อใต้ผิวหนัง,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Sodium fusidate,,oint,,ข,ยาที่ใช้ได้ตามเงื่อนไข,เบิกได้บางกรณี ตามเงื่อนไขที่กำหนด,🟡,Skin,Anti-infective skin preparations,XII,โรคผิวหนังและเนื้อเยื่อใต้ผิวหนัง,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Mupirocin,,oint,,ข,ยาที่ใช้ได้ตามเงื่อนไข,เบิกได้บางกรณี ตามเงื่อนไขที่กำหนด,🟡,Skin,Anti-infective skin preparations,XII,โรคผิวหนังและเนื้อเยื่อใต้ผิวหนัง,,จำกัดการใช้เฉพาะ Methicillin-resistant S.aureus (MRSA),,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Benzoic acid + Salicylic acid,Whitfield’s ointment,"oint, oint (hosp)",,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Skin,Anti-infective skin preparations,XII,โรคผิวหนังและเนื้อเยื่อใต้ผิวหนัง,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Sodium thiosulfate,,"sol, sol (hosp)",,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Skin,Anti-infective skin preparations,XII,โรคผิวหนังและเนื้อเยื่อใต้ผิวหนัง,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Clotrimazole,,cream,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Skin,Anti-infective skin preparations,XII,โรคผิวหนังและเนื้อเยื่อใต้ผิวหนัง,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Ketoconazole,,cream,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Skin,Anti-infective skin preparations,XII,โรคผิวหนังและเนื้อเยื่อใต้ผิวหนัง,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Benzyl benzoate,,emulsion/lotion (เฉพาะ 25%),,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Skin,Anti-infective skin preparations,XII,โรคผิวหนังและเนื้อเยื่อใต้ผิวหนัง,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Sulfur,Sulphur,oint,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Skin,Anti-infective skin preparations,XII,โรคผิวหนังและเนื้อเยื่อใต้ผิวหนัง,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Permethrin,,cream (เฉพาะ 5%),ยากำพร้า,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Skin,Anti-infective skin preparations,XII,โรคผิวหนังและเนื้อเยื่อใต้ผิวหนัง,,ใช้ในหิด และโลน,,เป็นยากำพร้าอยู่ระหว่างการแก้ไขปัญหาการขาดแคลนยา,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Aluminium acetate,Aluminium subacetate,sol (hosp),,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Skin,Emollient and barrier preparations,XII,โรคผิวหนังและเนื้อเยื่อใต้ผิวหนัง,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Mineral oil,,oil (hosp),,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Skin,Emollient and barrier preparations,XII,โรคผิวหนังและเนื้อเยื่อใต้ผิวหนัง,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Olive oil,,oil,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Skin,Emollient and barrier preparations,XII,โรคผิวหนังและเนื้อเยื่อใต้ผิวหนัง,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Urea,,"cream (hosp), oint (hosp)",,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Skin,Emollient and barrier preparations,XII,โรคผิวหนังและเนื้อเยื่อใต้ผิวหนัง,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
White petrolatum,,oint (hosp),,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Skin,Emollient and barrier preparations,XII,โรคผิวหนังและเนื้อเยื่อใต้ผิวหนัง,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Zinc oxide,,"oint (hosp), paste (hosp)",,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Skin,Emollient and barrier preparations,XII,โรคผิวหนังและเนื้อเยื่อใต้ผิวหนัง,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Zinc sulfate,,lotion (hosp),,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Skin,Emollient and barrier preparations,XII,โรคผิวหนังและเนื้อเยื่อใต้ผิวหนัง,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Calamine,,"lotion, lotion (hosp)",,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Skin,Topical antipruritics,XII,โรคผิวหนังและเนื้อเยื่อใต้ผิวหนัง,,,,หากในสูตรตำรับยามี phenol เป็นส่วนประกอบ ต้องมีความเข้มข้นของ phenol ไม่เกิน 0.5 - 1%,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Menthol + Phenol + Camphor,,ทุก topical dosage form (hosp),,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Skin,Topical antipruritics,XII,โรคผิวหนังและเนื้อเยื่อใต้ผิวหนัง,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Hydrocortisone acetate,,cream,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Skin,Topical corticosteroids,XII,โรคผิวหนังและเนื้อเยื่อใต้ผิวหนัง,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Prednisolone,,cream,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Skin,Topical corticosteroids,XII,โรคผิวหนังและเนื้อเยื่อใต้ผิวหนัง,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Betamethasone dipropionate,,"cream, oint",,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Skin,Topical corticosteroids,XII,โรคผิวหนังและเนื้อเยื่อใต้ผิวหนัง,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Betamethasone valerate,,cream,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Skin,Topical corticosteroids,XII,โรคผิวหนังและเนื้อเยื่อใต้ผิวหนัง,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Triamcinolone acetonide,,"cream, lotion",,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Skin,Topical corticosteroids,XII,โรคผิวหนังและเนื้อเยื่อใต้ผิวหนัง,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Clobetasol propionate,,cream,,ก,ยาจำเป็นพื้นฐาน,บัตรทอง/ประกันสังคมเบิกได้ทุกกรณี,🟢,Skin,Topical corticosteroids,XII,โรคผิวหนังและเนื้อเยื่อใต้ผิวหนัง,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
Betamethasone valerate,,"lotion, sol",,ข,ยาที่ใช้ได้ตามเงื่อนไข,เบิกได้บางกรณี ตามเงื่อนไขที่กำหนด,🟡,Skin,Topical corticosteroids,XII,โรคผิวหนังและเนื้อเยื่อใต้ผิวหนัง,,,,,บัญชียาหลักแห่งชาติ พ.ศ. 2558,http://drug.fda.moph.go.th:81/nlem.in.th/medicine/essential/list,กลุ่มนโยบายแห่งชาติด้านยา สำนักยา กระทรวงสาธารณสุข
